date,headline,snippet,link
19860101,"MONTANA TOWN SEEKS SUCCESS WITH BRAVE (BUT FALSE) FRONT","  There wasn't a formal vote or anything, but it has been pretty much decided that this isolated county seat is going to change its appearance drastically in a bid to change its economic fortunes drastically.   Instead of looking like an American...","http://www.nytimes.com/1986/01/02/us/the-talk-of-libby-mont-montana-town-seeks-success-with-brave-but-false-front.html"
19860201,"THE CHINA TRADE","  China has hired Elliot L. Richardson, the former Secretary of Defense, Attorney General and United Nations representative, and Edward W. Furia, a Seattle-based government relations and trade consultant, to conduct a comprehensive study of its...","http://www.nytimes.com/1986/02/02/us/briefing-the-china-trade.html"
19860301,"DELAWARE PLANS 6-LANE HIGHWAY","  AFTER 20 years of false starts and two years of consultants' studies and public hearings, Delaware highway authorities have announced the route of a bypass designed to relieve the traffic that clogs U.S. 13, the state's main north-south artery.  ...","http://www.nytimes.com/1986/03/02/us/northeast-journal-delaware-plans-6-lane-highway.html"
19860401,"PART OF SPACE SHUTTLE'S BOOSTER JOINT FOUND IN SEA","  Space agency engineers said today that a piece of the Challenger wreckage found two weeks ago included part of the joint of the right solid-fuel booster rocket, the main suspect in the accident investigation.   Rocket engineers from the Marshall...","http://www.nytimes.com/1986/04/02/us/part-of-space-shuttle-s-booster-joint-found-in-sea.html"
19860501,"Time Again to Consider More Daylight Time","  Just as Americans settle into their routines for daylight saving time, Congress is already preparing to tinker with next year's time change.   Rival interest groups have battled over daylight time for years but, after several defeats in previous...","http://www.nytimes.com/1986/05/01/us/time-again-to-consider-more-daylight-time.html"
19860601,"NEW REACTOR WOULD USE SUSTAINED ATOMIC FUSION","  A preliminary design has been completed for a nuclear reactor that scientists hope will be the first to create a fusion reaction that will achieve ignition, thus sustaining itself at temperatures of hundreds of millions of degrees.   The project,...","http://www.nytimes.com/1986/06/01/us/new-reactor-would-use-sustained-atomic-fusion.html"
19860701,"Power II","  It is some evidence of the growing political influence of the world wildlife movement that more than 80 members of the House have joined in co-sponsoring Representative Robert J. Mrazek's bill to reinstate a ban on importing kangaroo products into...","http://www.nytimes.com/1986/07/02/us/briefing-power-ii.html"
19860801,"STEELWORKERS OUTSIDE GATE EXPECT A LONG STOPPAGE","  On the first day of the stoppage at the USX Corporation, five steelworkers sat in lawn chairs on the dirt beside the road, a blue plastic canopy stretched above them to block the sun, and discussed the prospects for settlement.   ''It'll be as long...","http://www.nytimes.com/1986/08/02/us/steelworkers-outside-gate-expect-a-long-stoppage.html"
19860901,"5 Killed on Illinois Lake In High-Speed Collision","  Two powerboats collided at high speed early this morning on Fox Lake in the northeastern corner of the state, killing five people and injuring one.","http://www.nytimes.com/1986/09/02/us/around-the-nation-5-killed-on-illinois-lake-in-high-speed-collision.html"
19861001,"Carolina Controversy","  Strong words are flying in South Carolina politics between Lee Atwater, a strategist for Vice President Bush, and Samuel Tenenbaum, a prominent Democratic fund-raiser and civic leader.   Mr. Atwater, who is also a campaign consultant to...","http://www.nytimes.com/1986/10/02/us/talking-politics-carolina-controversy.html"
19861101,"GOING ON IN THE NORTHEAST","  JAZZ IN NEW JERSEY McCoy Tyner and his trio will kick off the opening of the Jazz Series today at 2 P.M. in the Maurice Levin Theater of the Y.M.-Y.W.H.A. of Metropolitan New Jersey, 760 Northfield Avenue, West Orange.   The series also includes...","http://www.nytimes.com/1986/11/02/us/going-on-in-the-northeast.html"
19861201,"A Miami Allegation","  Amid calls for an independent inquiry into the shipments of arms to Iran and diversion of profits to the Nicaragua insurgents, there is growing interest in a somewhat related allegation: that top officials of the Justice Department, including...","http://www.nytimes.com/1986/12/02/us/washington-talk-briefing-a-miami-allegation.html"
19870101,"NEW YORK SURVIVORS HAPPY TO BE HOME SAFE","LEAD: Survivors of the Dupont Plaza hotel disaster from the New York area told harrowing stories of the fatal fire yesterday, and telephone lines were jammed by anxious callers seeking to learn the fate of family and friends in Puerto Rico.","http://www.nytimes.com/1987/01/02/us/new-york-survivors-happy-to-be-home-safe.html"
19870201,"DEMOCRATS URGED TO AVOID CENTER","LEAD: Democrats have always enjoyed the folksy humor of Jim Hightower, Texas's Commissioner of Agriculture, but party leaders have generally kept their distance from his brand of populist politics.","http://www.nytimes.com/1987/02/01/us/democrats-urged-to-avoid-center.html"
19870301,"Plaster Hits Maryland Seat","LEAD: Several pounds of plaster molding dropped from a ceiling in Gov. William Donald Schaefer's office today, landing squarely on the chair where the Governor often works. Mr. Schaefer was in another office in the State House at the time. Mr....","http://www.nytimes.com/1987/03/01/us/plaster-hits-maryland-seat.html"
19870401,"F.D.A. Approves Medication To Curb Heartworm in Dogs","LEAD: The Food and Drug Administration has approved a medication to prevent heartworm in dogs that can be administered once a month, a spokeswoman said Tuesday.","http://www.nytimes.com/1987/04/02/us/fda-approves-medication-to-curb-heartworm-in-dogs.html"
19870501,"4 Wounded, Rifleman Killed","LEAD: An unemployed teacher began shooting at random with a rifle Thursday, wounding at least four people before being killed by the police, officials said. The teacher, DeWitt D. Hooks, 31 years old, began firing the the bolt-action rifle at...","http://www.nytimes.com/1987/05/02/us/4-wounded-rifleman-killed.html"
19870601,"Fire Destroys 32 Homes In Pebble Beach, Calif.","LEAD: Scores of firefighters battled a forest fire today that raged out of control through this exclusive town, destroying 32 homes and forcing the evacuation of at least 100 people, the authorities said.","http://www.nytimes.com/1987/06/01/us/fire-destroys-32-homes-in-pebble-beach-calif.html"
19870701,"IN BORK'S WORDS: ABORTION, DEATH PENALTY, GAY RIGHTS","LEAD:  Abortion","http://www.nytimes.com/1987/07/02/us/in-bork-s-words-abortion-death-penalty-gay-rights.html"
19870801,"DOLE SUMMER DRIVE TAKES AIM AT BUSH","LEAD: Senator Bob Dole took his August campaign schedule off the desk in his Capitol office Friday and held it up. It listed trips almost every day that will take him around the nation in his quest for the Republican Presidential nomination.","http://www.nytimes.com/1987/08/02/us/dole-summer-drive-takes-aim-at-bush.html"
